iter	Passed	Remaining
0	0	82
1	1	86
2	2	83
3	3	76
4	3	75
5	4	73
6	5	71
7	6	71
8	6	69
9	7	69
10	8	70
11	9	70
12	10	69
13	11	68
14	11	67
15	12	65
16	13	64
17	13	63
18	14	62
19	15	61
20	15	60
21	16	59
22	17	58
23	18	57
24	18	55
25	19	55
26	20	54
27	20	53
28	21	52
29	22	52
30	23	51
31	23	50
32	24	49
33	25	49
34	26	48
35	26	47
36	27	46
37	28	46
38	28	45
39	29	44
40	30	43
41	30	42
42	31	41
43	31	40
44	32	39
45	33	39
46	34	38
47	34	37
48	35	36
49	36	36
50	36	35
51	37	34
52	38	33
53	38	32
54	39	32
55	39	31
56	40	30
57	41	29
58	41	28
59	42	28
60	42	27
61	43	26
62	43	25
63	44	25
64	45	24
65	45	23
66	46	22
67	46	22
68	47	21
69	48	20
70	48	19
71	49	19
72	50	18
73	51	17
74	51	17
75	52	16
76	52	15
77	53	15
78	54	14
79	54	13
80	55	12
81	55	12
82	56	11
83	56	10
84	57	10
85	58	9
86	58	8
87	59	8
88	59	7
89	60	6
90	61	6
91	61	5
92	62	4
93	63	4
94	63	3
95	64	2
96	65	2
97	65	1
98	66	0
99	66	0
